Made,Body,Year,Fuel_Type,Transmission,Condition,Price,Cylinder_Numbers,Engine_Size,Estimated_Mileage,Warranty,peakrpm,Owners
Honda,SUV,2008,Petrol,Manual,Good,7792.626117,2,2.302455972,35854.50069,15,6599,3
Ford,Hatchback,2009,Hybrid,Manual,Good,26202.85273,2,3.415847809,12269.88872,30,6583,1
Nissan,Coupe,2017,Petrol,Automatic,Good,12124.67706,2,2.494245792,34103.26339,12,5558,2
Nissan,Saloon,2007,Petrol,Manual,Good,11132.04624,2,1.643691118,27696.47399,31,4434,3
Honda,SUV,2007,Petrol,Manual,Fair,6215.600907,2,2.104220211,43741.46727,11,4725,2
Nissan,Saloon,2006,Petrol,Manual,Good,7194.814238,2,1.842404334,38142.71297,33,6094,2
Nissan,Saloon,2004,Petrol,Manual,Good,8336.324772,3,2.160061292,34827.50744,16,4588,2
Chevrolet,Hatchback,2010,Hybrid,Manual,Good,16954.01848,6,2.496291747,18713.79348,9,4884,2
Honda,SUV,2007,Petrol,Manual,Fair,5236.110595,3,1.820945003,42646.33759,25,5265,3
Toyota,Truck,2015,Petrol,Manual,Fair,16901.89411,4,2.455371919,20336.66253,17,5652,2
Honda,SUV,2007,Petrol,Manual,Fair,5309.093596,2,2.27495051,43114.12948,25,5523,2
Toyota,Truck,2016,Hybrid,Manual,Good,25029.64758,5,2.378586175,11876.98749,32,4861,2
Chevrolet,Hatchback,2014,Hybrid,Manual,Excellent,22769.75887,6,2.647494054,15357.95258,11,4983,1
Ford,SUV,2016,Hybrid,Manual,Good,21307.52124,4,1.918063431,15426.1458,6,5891,1
Nissan,Coupe,2012,Electric,Manual,Good,10683.04468,2,2.391369283,32914.40055,30,4517,4
Chevrolet,Hatchback,2012,Electric,Automatic,Good,15069.70412,2,3.022291564,20802.88001,14,6395,2
Nissan,Saloon,2008,Petrol,Manual,Good,9363.389295,3,2.403173291,33005.91629,23,4437,2
Ford,SUV,2004,Hybrid,Automatic,Excellent,23862.49493,3,2.825679896,13443.98374,7,6038,1
Ford,Hatchback,2011,Electric,Manual,Excellent,30400.59573,2,3.205906511,8756.189579,10,6272,2
Chevrolet,Hatchback,2008,Petrol,Manual,Good,9989.167361,3,2.065852695,32688.59134,21,4790,2
Ford,Hatchback,2012,Hybrid,Automatic,Good,20754.45624,2,2.640116111,18463.02454,17,6384,1
Toyota,Truck,2013,Hybrid,Manual,Good,27234.56699,3,2.595104959,7795.033177,17,6524,1
Ford,SUV,2019,Hybrid,Automatic,Good,25672.08395,5,2.586748085,13368.84132,16,5366,1
Nissan,Saloon,2004,Petrol,Manual,Good,7934.378347,3,2.6557587,37620.64219,25,5495,4
Nissan,Saloon,2007,Petrol,Manual,Good,9642.217663,3,2.372128751,33988.299,24,5481,4
Nissan,Coupe,2012,Petrol,Manual,Good,9719.279604,3,1.543119165,34414.98055,26,4259,4
Nissan,Coupe,2010,Petrol,Manual,Fair,11907.37117,3,1.915677815,29489.83323,12,6531,4
Toyota,Truck,2013,Electric,Automatic,Good,27042.23934,6,2.345463463,11096.52661,31,4799,1
Honda,SUV,2004,Petrol,Manual,Fair,6058.198029,2,2.174331109,39082.18402,7,6270,2
Chevrolet,Hatchback,2018,Electric,Manual,Good,15888.82778,5,2.359656497,21791.9269,12,4895,4
Nissan,Coupe,2009,Electric,Manual,Good,10611.43708,2,2.133285113,31365.28112,12,5063,2
Ford,SUV,2016,Electric,Manual,Good,22980.66426,5,2.711899986,14196.19462,11,4301,1
Nissan,Saloon,2004,Petrol,Manual,Good,8850.085108,2,2.752414273,36451.89705,9,5405,4
Ford,SUV,2019,Electric,Automatic,Good,20079.54441,3,2.001674352,16970.50731,7,4175,1
Ford,SUV,2020,Hybrid,Automatic,Excellent,22812.49223,6,3.05946865,13940.2651,22,6263,3
Nissan,Saloon,2007,Petrol,Manual,Good,10747.75347,2,1.823131457,35280.26092,13,6596,2
Toyota,Truck,2013,Electric,Automatic,Excellent,23434.65848,4,1.571171535,11841.27038,10,4164,1
Ford,SUV,2003,Hybrid,Automatic,Good,24137.76955,5,2.725331668,15670.60041,15,6527,1
Ford,Hatchback,2010,Electric,Manual,Good,21772.28288,6,2.530352877,14870.30503,21,4691,3
Nissan,Saloon,2004,Petrol,Manual,Fair,9955.615436,2,1.915018758,34313.78361,7,4372,2
Ford,SUV,2014,Electric,Automatic,Good,24333.09852,3,2.923658992,11912.02487,29,6499,2
Ford,SUV,2018,Hybrid,Manual,Fair,20851.26188,2,1.527981781,14785.30315,24,5767,1
Nissan,Saloon,2006,Petrol,Manual,Good,10947.77076,3,2.415157265,31563.20325,12,6303,2
Nissan,Saloon,2008,Petrol,Manual,Good,7515.852114,3,1.645120815,39462.07821,7,4787,2
Chevrolet,Hatchback,2018,Hybrid,Manual,Good,21405.69539,3,2.766432337,17032.86797,18,4873,1
Toyota,Truck,2013,Hybrid,Automatic,Good,44939.40152,6,2.732431236,3852.13005,9,6427,1
Ford,SUV,2004,Petrol,Manual,Good,17397.46714,3,1.963911378,22862.29458,21,6244,4
Toyota,Saloon,2021,Hybrid,Automatic,Good,25744.88919,5,2.569267019,11646.24668,15,5368,1
Ford,SUV,2019,Hybrid,Automatic,Excellent,30134.88897,3,2.562720187,8523.051824,22,5898,1
Chevrolet,Hatchback,2009,Hybrid,Automatic,Fair,17564.03015,6,1.989522,23587.795,26,5955,3
Nissan,Saloon,2005,Petrol,Manual,Fair,9895.472426,3,1.630938471,36841.38931,33,6531,3
Nissan,Saloon,2002,Petrol,Manual,Good,7983.764711,3,2.095349889,34869.59146,19,6285,3
Nissan,Saloon,2003,Petrol,Manual,Fair,7541.387867,3,1.496722888,40992.61,17,4260,3
Toyota,Truck,2016,Hybrid,Automatic,Excellent,27151.92293,4,2.834483855,13059.329,18,4831,1
Chevrolet,Saloon,2007,Hybrid,Automatic,Good,15965.7534,3,2.322068305,23796.17215,14,4921,3
Toyota,Saloon,2019,Hybrid,Manual,Good,23231.12206,4,2.358882398,12362.94936,25,4952,3
Toyota,Truck,2013,Hybrid,Automatic,Good,26315.95413,6,3.125034155,10463.8953,13,5690,1
Chevrolet,Hatchback,2010,Electric,Manual,Excellent,20059.10194,3,2.050850342,12345.85394,22,6550,4
Chevrolet,Hatchback,2014,Hybrid,Manual,Fair,19577.14767,3,2.426191539,14270.91639,23,5873,3
Chevrolet,Hatchback,2017,Petrol,Manual,Good,18298.96785,6,2.541764838,23644.96327,26,4448,2
Chevrolet,Hatchback,2009,Electric,Manual,Good,20661.37763,4,2.472690957,18992.74129,15,4934,4
Nissan,Coupe,2016,Petrol,Manual,Good,11265.87263,2,1.604850612,29693.40653,31,5366,2
Honda,SUV,2003,Petrol,Manual,Good,6068.392643,2,1.754652727,37638.75531,33,4921,2
Honda,SUV,2003,Petrol,Manual,Good,7868.309316,2,1.475366193,37039.15402,18,4338,4
Chevrolet,Hatchback,2013,Hybrid,Manual,Good,14738.2596,5,2.291728189,24993.99105,7,5401,3
Honda,SUV,2008,Petrol,Manual,Fair,4666.986889,2,2.04071363,47485.61224,32,5844,4
Honda,SUV,2008,Petrol,Manual,Fair,7583.396223,3,1.94423818,37997.50958,22,6549,2
Chevrolet,Hatchback,2012,Petrol,Manual,Good,15899.79549,2,2.133642282,24284.34749,11,5483,2
Honda,SUV,2006,Petrol,Manual,Fair,3527.516896,3,1.87085957,46347.61365,17,6456,3
Toyota,Hatchback,2009,Hybrid,Automatic,Good,24370.51996,6,2.270419663,9704.096795,34,4986,1
Ford,SUV,2020,Electric,Automatic,Good,28914.66699,4,2.235887295,15261.30343,18,5442,1
Ford,SUV,2003,Hybrid,Automatic,Excellent,22770.11268,6,2.730333843,10185.07237,33,5510,1
Chevrolet,Hatchback,2011,Petrol,Automatic,Good,12674.33479,2,1.9382209,28252.30225,31,6159,3
Nissan,Saloon,2007,Petrol,Manual,Good,9265.589335,2,2.264883389,34625.09622,9,4464,2
Chevrolet,Hatchback,2010,Electric,Automatic,Fair,17442.93314,5,1.947560274,22971.71847,20,4592,2
Nissan,Saloon,2003,Petrol,Manual,Good,9195.881555,2,1.815069676,34151.03676,21,4312,2
Ford,Hatchback,2012,Hybrid,Automatic,Good,21123.55425,4,2.695149031,17714.73293,26,4547,2
Chevrolet,Hatchback,2011,Petrol,Manual,Good,15984.91393,3,2.217526419,24287.11703,24,4526,2
Toyota,Truck,2015,Electric,Automatic,Good,29638.66749,5,2.348314422,9252.026908,20,4721,1
Honda,SUV,2001,Petrol,Manual,Fair,5620.121065,2,2.041569539,42061.74473,31,5803,2
Nissan,Saloon,2006,Petrol,Manual,Good,9942.120554,3,2.501254834,38541.33453,11,6212,4
Honda,SUV,2004,Petrol,Manual,Fair,6357.845073,3,2.376396222,41159.57887,25,6408,3
Honda,SUV,2002,Petrol,Manual,Fair,5583.728833,2,2.121223287,40800.8372,12,5619,2
Chevrolet,Hatchback,2016,Electric,Automatic,Good,15742.82058,6,2.553935754,24522.2551,11,4147,4
Honda,SUV,2007,Petrol,Manual,Good,6269.951044,3,2.142487913,42170.0756,12,6281,2
Toyota,Truck,2017,Hybrid,Automatic,Fair,17738.51775,4,2.020372537,15917.55392,10,5552,4
Honda,SUV,2004,Petrol,Manual,Good,8193.866785,2,1.710439423,37254.38398,32,5053,3
Chevrolet,Hatchback,2008,Electric,Automatic,Good,16281.87601,6,2.887334384,22037.67459,7,5471,2
Toyota,Saloon,2019,Hybrid,Manual,Excellent,24046.85738,6,1.939159666,15407.8208,25,5333,2
Ford,SUV,2013,Hybrid,Automatic,Excellent,26946.30508,3,2.675578982,11387.60936,7,4901,1
Honda,SUV,2006,Petrol,Manual,Fair,6030.196806,2,1.67404826,39466.3298,10,6053,3
Chevrolet,Hatchback,2015,Hybrid,Manual,Good,16747.30182,5,2.22353693,24385.25787,8,4598,2
Ford,SUV,2019,Electric,Manual,Good,18650.70872,2,1.76585126,25564.47746,11,5463,2
Ford,SUV,2019,Hybrid,Manual,Excellent,24407.6246,5,3.136533647,11173.46144,16,4734,2
Nissan,Coupe,2011,Petrol,Manual,Fair,8879.744066,3,2.327525224,36946.62531,10,5695,2
Toyota,Truck,2011,Hybrid,Automatic,Excellent,36406.68038,5,3.115074905,7315.118445,23,6334,1
Honda,SUV,2008,Petrol,Manual,Fair,5994.687612,3,2.268684151,37732.93949,19,5388,2
Chevrolet,Hatchback,2013,Petrol,Manual,Good,11199.19285,2,1.992997165,33771.3132,15,6094,2
Nissan,Coupe,2016,Petrol,Manual,Good,11125.25731,3,2.349751123,30385.71309,32,6548,2
Toyota,Saloon,2020,Electric,Manual,Good,20999.8664,2,2.019701784,20293.53856,29,6441,2
Nissan,Saloon,2004,Petrol,Manual,Fair,9859.392341,2,1.852543823,37194.452,27,4802,3
Toyota,Saloon,2022,Hybrid,Manual,Excellent,33024.4004,6,2.145267161,9172.813729,30,5035,1
Toyota,Hatchback,2006,Electric,Automatic,Good,40455.98076,6,2.807084635,6837.789806,8,5124,1
Honda,SUV,2002,Petrol,Manual,Fair,5995.280494,3,1.598058716,37567.11769,21,5705,2
Toyota,Truck,2011,Electric,Manual,Good,30673.28016,2,3.03291716,8288.50168,35,6332,2
Nissan,Saloon,2008,Petrol,Manual,Fair,11838.36086,2,2.435052639,28886.94316,21,5676,2
Toyota,Truck,2014,Hybrid,Automatic,Excellent,41313.38535,6,3.062706085,7283.796602,16,6052,1
Honda,SUV,2006,Petrol,Manual,Fair,8222.608221,2,2.704871035,36992.64891,9,4235,3
Honda,SUV,2007,Petrol,Manual,Fair,4461.433822,3,1.942496488,45257.13051,16,4665,2
Nissan,Saloon,2004,Petrol,Manual,Good,8346.021565,2,2.437162947,39038.48373,13,5123,4
Ford,SUV,2020,Hybrid,Manual,Excellent,22089.77279,5,2.259822936,13727.91895,21,5061,2
Ford,SUV,2019,Hybrid,Manual,Good,28226.00634,5,1.99618961,10870.91757,28,6051,2
Toyota,Truck,2013,Hybrid,Automatic,Excellent,27152.32744,2,2.581768761,11752.74505,13,5758,1
Chevrolet,Saloon,2007,Electric,Automatic,Good,15974.90073,4,2.652172017,23731.15661,14,6120,2
Toyota,Truck,2013,Hybrid,Manual,Fair,20370.24409,4,1.768743804,15885.15402,19,5156,4
Nissan,Saloon,2006,Petrol,Manual,Good,7459.676173,3,2.307444255,38929.16171,13,4470,2
Nissan,Coupe,2012,Petrol,Manual,Good,10474.29318,2,2.196628633,32806.0611,29,5436,4
Nissan,Coupe,2011,Petrol,Manual,Fair,9115.891515,3,2.015511945,34430.13291,21,5383,2
Nissan,Coupe,2010,Petrol,Manual,Good,11221.55053,3,1.950318933,28830.75349,27,4867,2
Nissan,Saloon,2003,Petrol,Manual,Good,7549.682667,3,1.929623546,37401.27699,32,5466,2
Honda,SUV,2003,Petrol,Manual,Fair,6627.184976,2,1.943640746,40803.25943,7,4104,2
Ford,Hatchback,2010,Hybrid,Manual,Excellent,23830.20662,3,2.299116325,13049.54663,33,4950,1
Nissan,Saloon,2003,Petrol,Manual,Fair,8779.673702,3,1.76292274,34537.57649,28,4983,2
Chevrolet,Hatchback,2012,Electric,Automatic,Fair,16377.05089,6,2.729380897,22729.63061,25,5225,2
Chevrolet,Hatchback,2017,Electric,Automatic,Fair,18308.8083,5,2.540417661,20180.07484,24,4826,2
Chevrolet,Hatchback,2010,Petrol,Manual,Good,17905.45132,4,2.022707079,24812.40298,25,5764,2
Chevrolet,Hatchback,2011,Petrol,Manual,Good,15325.08204,4,2.236807501,25362.62949,25,4489,2
Honda,SUV,2002,Petrol,Manual,Good,6715.606403,2,2.049694941,38199.04117,24,5760,2
Chevrolet,Hatchback,2019,Hybrid,Automatic,Good,21615.18814,3,2.891110861,14306.96669,30,6552,1
Nissan,Saloon,2006,Petrol,Manual,Fair,9334.144539,3,1.851191254,36191.37663,14,5917,3
Toyota,Truck,2014,Hybrid,Manual,Excellent,28908.35771,4,2.843559511,11473.41939,24,6263,1
Chevrolet,Hatchback,2018,Petrol,Automatic,Fair,17521.7929,3,2.020170898,23884.0444,23,4902,2
Honda,SUV,2004,Petrol,Manual,Fair,8610.253185,3,1.854178971,37137.91147,18,6407,4
Honda,SUV,2007,Petrol,Manual,Fair,6213.882668,2,1.992770369,41102.19942,22,5457,4
Chevrolet,Hatchback,2012,Hybrid,Manual,Good,20104.28509,5,1.907119182,21356.51929,32,5663,3
Toyota,Saloon,2021,Hybrid,Manual,Excellent,31836.32098,3,2.271173392,8301.979561,6,6212,2
Chevrolet,Hatchback,2010,Electric,Automatic,Good,16077.4573,6,2.302063289,22817.93943,26,6179,3
Honda,SUV,2004,Petrol,Manual,Fair,6905.995758,2,2.023207183,41703.37295,33,5958,3
Ford,SUV,2013,Hybrid,Automatic,Excellent,27449.48149,2,2.607796479,10146.33431,33,5830,2
Nissan,Coupe,2009,Petrol,Manual,Good,10344.7972,3,2.419806282,34131.87762,10,5509,2
Honda,SUV,2003,Petrol,Manual,Good,6963.205285,2,1.898193249,40774.73744,33,5251,2
Chevrolet,Hatchback,2018,Electric,Automatic,Good,16055.62854,3,2.07696671,22358.63586,30,5271,2
Nissan,Coupe,2012,Petrol,Manual,Good,12920.93921,2,2.3911609,27818.57212,25,6367,3
Chevrolet,Saloon,2006,Electric,Manual,Fair,10804.70914,2,1.969460143,33828.3242,26,5230,2
Chevrolet,Hatchback,2011,Electric,Automatic,Good,15476.37438,4,2.487979014,24079.93605,18,5084,2
Ford,SUV,2014,Petrol,Automatic,Good,18649.1559,4,1.655206917,16556.77256,11,5762,2
Nissan,Saloon,2004,Petrol,Manual,Good,12284.34893,2,2.248018797,32339.33236,12,4854,3
Nissan,Saloon,2002,Petrol,Manual,Fair,9503.557026,2,2.158918103,31626.6282,15,5424,4
Ford,Hatchback,2007,Electric,Manual,Fair,20221.32397,2,2.86175912,16500.36788,28,6236,2
Honda,SUV,2004,Petrol,Manual,Fair,5594.406113,2,2.214908773,44802.86257,14,5190,3
Chevrolet,Hatchback,2015,Petrol,Automatic,Good,13425.31938,4,2.523092102,25709.28421,12,5574,2
Toyota,Saloon,2019,Electric,Manual,Good,29137.05813,4,2.58524404,9516.146437,11,6498,2
Chevrolet,Hatchback,2008,Hybrid,Manual,Good,20184.05907,4,2.468824291,14836.28647,6,5981,2
Chevrolet,Hatchback,2011,Hybrid,Automatic,Fair,18910.63632,5,2.000958369,18182.66617,29,6005,3
Honda,SUV,2004,Petrol,Manual,Fair,5484.063767,2,1.822190152,41192.94159,14,4826,3
Chevrolet,Hatchback,2009,Hybrid,Automatic,Good,22578.31297,6,2.584809722,14889.23061,23,5080,2
Ford,SUV,2013,Hybrid,Manual,Good,27127.45321,2,3.190638599,11240.12299,30,5407,2
Ford,SUV,2003,Petrol,Automatic,Good,17021.40773,4,2.586243109,24057.94345,32,6350,4
Nissan,Saloon,2007,Petrol,Manual,Fair,9409.292719,3,2.31241223,38706.05864,28,5778,2
Toyota,Hatchback,2009,Hybrid,Manual,Excellent,20215.82084,6,2.701295346,16441.17095,12,5341,3
Chevrolet,Hatchback,2009,Electric,Automatic,Excellent,22415.72155,3,2.579842865,13782.43793,31,4338,2
Chevrolet,Hatchback,2010,Hybrid,Automatic,Good,16654.78144,2,2.331992968,19218.7304,15,5128,4
Honda,SUV,2006,Petrol,Manual,Good,4820.751916,3,1.929908209,43473.52344,17,6568,2
Ford,Hatchback,2009,Hybrid,Manual,Good,23415.28708,4,2.207159132,11938.70944,26,5163,3
Toyota,Saloon,2020,Hybrid,Automatic,Excellent,33949.0707,3,2.342609414,8143.437667,29,4461,1
Nissan,Coupe,2013,Petrol,Manual,Good,10996.71586,3,2.086330146,31486.22638,31,4852,2
Ford,SUV,2006,Electric,Manual,Good,21914.68333,6,2.356493499,16889.29047,20,4697,3
Nissan,Saloon,2006,Petrol,Manual,Good,9438.973067,3,1.842493121,30236.80699,22,5821,4
Honda,SUV,2008,Petrol,Manual,Good,7194.955621,2,2.175986422,42228.37599,8,4920,4
Honda,SUV,2003,Petrol,Manual,Good,7594.653187,3,2.422096834,37810.52774,30,5413,2
Chevrolet,Hatchback,2012,Petrol,Manual,Good,13347.78037,2,2.038269272,24585.45333,20,4825,2
Toyota,Truck,2013,Hybrid,Manual,Good,26767.99167,6,2.585219947,13557.3951,6,6452,2
Nissan,Saloon,2004,Petrol,Manual,Good,9167.698615,3,1.887354106,33864.5568,16,5987,2
Ford,SUV,2003,Hybrid,Automatic,Good,22049.70921,6,2.650296097,16384.88524,29,4565,2
Honda,SUV,2003,Petrol,Manual,Good,7542.027261,3,2.192311817,36893.84683,11,6360,2
Chevrolet,Hatchback,2009,Hybrid,Automatic,Fair,13935.05849,6,2.004039902,27689.03069,33,6583,2
Chevrolet,Hatchback,2015,Electric,Automatic,Excellent,20415.06238,2,2.507660174,16930.61288,34,4561,2
Nissan,Saloon,2007,Petrol,Manual,Fair,6276.86238,3,1.305837101,41286.92956,21,4133,4
Honda,SUV,2002,Petrol,Manual,Fair,5474.867759,3,2.179572742,37538.16331,31,5638,2
Toyota,Truck,2013,Hybrid,Manual,Good,26168.75577,4,2.284384416,12546.56733,26,5262,2
Honda,SUV,2002,Petrol,Manual,Fair,4888.798201,2,1.652439133,43939.42296,17,4722,4
Nissan,Coupe,2010,Petrol,Automatic,Good,13005.68626,3,1.910189595,23539.32094,27,5294,2
Nissan,Coupe,2011,Petrol,Manual,Fair,8624.094289,3,1.832670745,34869.45144,32,4612,2
Honda,SUV,2004,Petrol,Manual,Fair,5402.312942,3,1.572431684,38156.94176,26,4955,2
Nissan,Saloon,2006,Petrol,Manual,Good,8659.643132,3,2.476749023,38597.45754,20,6226,3
Honda,SUV,2003,Petrol,Manual,Fair,6783.649841,3,2.053420475,36211.9063,30,4265,2
Ford,SUV,2018,Hybrid,Manual,Good,27629.56441,4,2.855555503,9872.233211,23,4875,1
Honda,SUV,2004,Petrol,Manual,Fair,5761.783568,3,2.252516733,41254.3785,15,4894,2
Honda,SUV,2005,Petrol,Manual,Fair,6516.650157,3,2.026560431,39629.10648,27,4967,4
Nissan,Saloon,2008,Petrol,Manual,Good,10291.72879,3,2.595993615,32562.23106,17,6323,4
Nissan,Saloon,2004,Petrol,Manual,Good,7538.072164,3,2.533614425,37368.21442,25,5822,2
Chevrolet,Saloon,2003,Electric,Automatic,Fair,17642.71124,2,2.362314795,18277.67586,24,4738,2
Chevrolet,Hatchback,2014,Hybrid,Automatic,Good,16108.3342,3,2.387253082,24272.47899,33,5616,4
Ford,SUV,2003,Electric,Automatic,Good,17773.54738,6,2.094629874,19005.99273,10,4867,3
Chevrolet,Hatchback,2019,Electric,Manual,Good,18639.71776,4,2.298740228,17873.63568,23,6311,2
Honda,SUV,2004,Petrol,Manual,Good,7214.830877,3,2.011004513,39340.98942,24,5315,2
Nissan,Saloon,2003,Petrol,Manual,Good,9765.809814,3,1.826158593,35803.71476,28,4600,4
Chevrolet,Saloon,2000,Petrol,Manual,Fair,10284.96728,2,2.435276174,30593.54521,17,4838,2
Chevrolet,Saloon,2004,Petrol,Manual,Good,16629.21572,4,2.252984259,26014.27841,6,6401,2
Ford,SUV,2005,Hybrid,Automatic,Fair,20425.67754,4,2.156133779,16603.76447,7,4560,1
Ford,SUV,2020,Electric,Manual,Good,31118.97208,6,2.312640345,7363.969635,8,4429,2
Honda,SUV,2003,Petrol,Manual,Good,5860.853364,2,2.477525927,42365.53193,31,6340,2
Nissan,Saloon,2007,Petrol,Manual,Fair,7279.233652,3,1.750838015,35521.16972,12,4323,4
Ford,SUV,2006,Electric,Manual,Good,23816.74303,2,2.330822392,16297.80844,35,6205,2
Chevrolet,Hatchback,2011,Petrol,Automatic,Fair,19906.48699,2,2.726254333,17207.2054,17,5143,4
Nissan,Saloon,2005,Petrol,Manual,Good,8496.020167,3,2.045619867,36147.2717,12,5562,2
Chevrolet,Hatchback,2013,Electric,Automatic,Fair,16624.02598,3,2.544599598,23932.09523,9,5046,2
Ford,SUV,2017,Electric,Manual,Excellent,27062.18929,2,2.338393341,9420.192027,17,5900,2
Chevrolet,Hatchback,2012,Petrol,Automatic,Fair,34303.4538,6,2.135665572,9882.784664,29,6508,1
Nissan,Coupe,2019,Petrol,Automatic,Good,12737.65766,3,2.191233819,29416.13527,13,4208,2
Toyota,Truck,2016,Electric,Automatic,Good,26490.31708,4,1.746307827,10670.1752,6,5611,1
Toyota,Truck,2012,Petrol,Manual,Good,18359.95034,5,1.806534374,19954.30077,10,5621,2
Honda,SUV,2006,Petrol,Manual,Fair,6000.311619,3,2.21908279,39605.61444,6,5365,2
Chevrolet,Saloon,2003,Hybrid,Automatic,Good,16310.06663,4,2.220474176,18164.20465,20,5732,4
Chevrolet,Hatchback,2013,Electric,Manual,Fair,13342.84167,4,2.195860374,26213.88591,18,5151,3
Honda,SUV,2002,Petrol,Manual,Good,6330.522458,3,2.276434764,41742.47615,12,5076,4
Honda,SUV,2004,Petrol,Manual,Fair,5781.89553,3,2.04707505,40589.12256,28,4705,2
Honda,SUV,2003,Petrol,Manual,Good,6349.435865,3,2.203467078,37517.10742,18,4957,2
Nissan,Coupe,2012,Petrol,Manual,Good,12445.15606,3,2.084529394,27834.06202,9,4922,3
Chevrolet,Hatchback,2019,Hybrid,Automatic,Fair,17612.09285,3,2.848729372,21463.53371,20,6143,2
Nissan,Saloon,2003,Electric,Manual,Fair,11236.80441,3,1.698698128,29000.81666,17,5020,2
Honda,SUV,2001,Petrol,Manual,Good,6008.394537,3,2.510457038,42579.71426,13,4820,2
Chevrolet,Hatchback,2017,Hybrid,Automatic,Good,19246.34707,3,2.205649387,20162.6499,21,6361,3
Nissan,Saloon,2008,Petrol,Manual,Good,9879.673535,3,1.784584128,33894.58705,17,6082,3
Nissan,Saloon,2008,Petrol,Manual,Good,10101.14054,2,2.535652365,29960.85484,29,5854,2
Honda,SUV,2002,Petrol,Manual,Fair,6068.429658,3,1.83674512,42322.29706,30,4843,2
Chevrolet,Hatchback,2013,Hybrid,Manual,Excellent,22351.08609,6,2.207923382,18277.50804,32,5751,2
Honda,SUV,2008,Petrol,Manual,Good,6831.911754,3,1.251710704,38916.5123,11,5767,4
Chevrolet,Hatchback,2015,Electric,Automatic,Good,18346.99487,2,2.384336857,17111.54417,28,5499,2
Toyota,Truck,2012,Electric,Automatic,Good,30542.82253,3,3.128951136,9555.398792,20,4629,1
Ford,Hatchback,2011,Electric,Automatic,Excellent,24514.24638,3,2.556771637,17006.43108,12,4441,2
Ford,SUV,2005,Electric,Manual,Excellent,28466.75857,6,2.621849901,13923.16677,10,4985,2
Ford,Hatchback,2011,Electric,Manual,Good,19281.06706,6,2.747529373,19169.63323,28,6460,3
Honda,SUV,2003,Petrol,Manual,Fair,8331.607099,3,2.077643111,37184.54178,20,6006,2
Toyota,Saloon,2018,Hybrid,Manual,Good,26861.5379,3,2.386973035,11193.68603,30,6429,2
Chevrolet,Hatchback,2015,Petrol,Manual,Good,14576.32857,2,1.892830697,25787.15939,33,5220,4
